Date,Open,High,Low,Close,Adj Close,Volume
2018-11-05,272.440002,274.010010,271.350006,273.390015,268.063110,65622500
2018-11-06,273.320007,275.299988,273.250000,275.119995,269.759399,60085900
2018-11-07,277.559998,281.100006,277.079987,281.010010,275.534637,102752100
2018-11-08,280.109985,281.220001,279.220001,280.500000,275.034546,65584900
2018-11-09,279.029999,279.239990,276.179993,277.760010,272.347961,98812600
2018-11-12,277.190002,277.459991,271.989990,272.570007,267.259094,99673600
2018-11-13,273.089996,275.329987,271.250000,272.059998,266.759003,98176600
2018-11-14,274.160004,274.609985,268.450012,270.200012,264.935272,125335900
2018-11-15,268.779999,273.540009,267.010010,273.019989,267.700317,135101400
2018-11-16,271.790009,274.750000,271.209991,273.730011,268.396484,126668000
2018-11-19,273.049988,273.380005,268.070007,269.100006,263.856689,103061700
2018-11-20,265.359985,267.000000,263.149994,264.119995,258.973694,136021300
2018-11-21,265.859985,267.149994,265.010010,265.019989,259.856171,75563700
2018-11-23,263.179993,264.820007,263.070007,263.250000,258.120697,42807900
2018-11-26,265.779999,267.750000,265.339996,267.500000,262.287842,79981400
2018-11-27,266.339996,268.399994,265.660004,268.399994,263.170319,75502400
2018-11-28,269.600006,274.579987,268.329987,274.579987,269.229889,127629600
2018-11-29,273.709991,275.549988,272.429993,273.980011,268.641602,82346400
2018-11-30,273.809998,276.279999,273.450012,275.649994,270.279083,98204200
2018-12-03,280.279999,280.399994,277.510010,279.299988,273.857910,103176300
2018-12-04,278.369995,278.850006,269.899994,270.250000,264.984283,177986000
2018-12-06,265.920013,269.970001,262.440002,269.839996,264.582275,204185400
2018-12-07,269.459991,271.220001,262.630005,263.570007,258.434479,161018900
2018-12-10,263.369995,265.160004,258.619995,264.070007,258.924713,151445900
2018-12-11,267.660004,267.869995,262.480011,264.130005,258.983521,121504400
2018-12-12,267.470001,269.000000,265.369995,265.459991,260.287598,97976700
2018-12-13,266.519989,267.489990,264.119995,265.369995,260.199341,96662700
2018-12-14,262.959991,264.029999,259.850006,260.470001,255.394867,116961100
2018-12-17,259.399994,260.649994,253.529999,255.360001,250.384399,165492300
2018-12-18,257.200012,257.950012,253.279999,255.080002,250.109863,134515100
2018-12-19,255.169998,259.399994,249.350006,251.259995,246.364273,214992800
2018-12-20,249.860001,251.619995,244.649994,247.169998,242.353989,252053400
2018-12-21,246.740005,249.710007,239.979996,240.699997,237.388245,255345600
2018-12-24,239.039993,240.839996,234.270004,234.339996,231.115768,147311600
2018-12-26,235.970001,246.179993,233.759995,246.179993,242.792862,218485400
2018-12-27,242.570007,248.289993,238.960007,248.070007,244.656876,186267300
2018-12-28,249.580002,251.399994,246.449997,247.750000,244.341248,153100200
2018-12-31,249.559998,250.190002,247.470001,249.919998,246.481415,144299400
2019-01-02,245.979996,251.210007,245.949997,250.179993,246.737808,126925200
2019-01-03,248.229996,248.570007,243.669998,244.210007,240.849976,144140700
2019-01-04,247.589996,253.110001,247.169998,252.389999,248.917435,142628800
2019-01-07,252.690002,255.949997,251.690002,254.380005,250.880051,103139100
2019-01-08,256.820007,257.309998,254.000000,256.769989,253.237152,102512600
2019-01-09,257.559998,258.910004,256.190002,257.970001,254.420654,95006600
2019-01-10,256.260010,259.160004,255.500000,258.880005,255.318146,96823900
2019-01-11,257.679993,259.010010,257.029999,258.980011,255.416763,73858100
2019-01-14,256.859985,258.299988,256.410004,257.399994,253.858505,70908200
2019-01-15,257.820007,260.700012,257.809998,260.350006,256.767883,85208300
2019-01-16,260.829987,261.970001,260.600006,260.980011,257.389221,77636700
2019-01-17,260.010010,263.920013,259.959991,262.959991,259.341980,96118400
2019-01-18,264.980011,266.980011,263.000000,266.459991,262.793823,127900300
2019-01-22,264.820007,265.059998,261.059998,262.859985,259.243347,115531200
2019-01-23,264.010010,264.790009,260.660004,263.410004,259.785797,86030300
2019-01-24,263.209991,264.200012,262.079987,263.549988,259.923859,59204100
2019-01-25,265.609985,266.700012,263.660004,265.779999,262.123199,96883400
2019-01-28,263.390015,263.829987,261.790009,263.760010,260.131012,85613700
2019-01-29,263.920013,264.549988,262.480011,263.410004,259.785797,66136300
2019-01-30,265.100006,268.519989,264.250000,267.579987,263.898407,92473700
2019-01-31,267.510010,270.470001,267.269989,269.929993,266.216064,104012100
2019-02-01,270.149994,271.200012,269.179993,270.059998,266.344299,85782500
2019-02-04,270.109985,272.029999,269.359985,271.959991,268.218140,60744800
2019-02-05,272.440002,273.440002,271.880005,273.100006,269.342499,79552800
2019-02-06,272.790009,273.339996,271.920013,272.739990,268.987427,58347800
2019-02-07,270.940002,271.549988,268.290009,270.140015,266.423218,95482000
2019-02-08,268.750000,270.579987,267.829987,270.470001,266.748657,75788900
2019-02-11,271.200012,271.489990,270.029999,270.619995,266.896576,68021400
2019-02-12,272.420013,274.519989,272.339996,274.100006,270.328735,72270200
2019-02-13,275.029999,275.929993,274.559998,274.989990,271.206451,65277200
2019-02-14,273.779999,275.640015,272.869995,274.380005,270.604889,83234400
2019-02-15,276.359985,277.410004,276.130005,277.369995,273.553741,97088700
2019-02-19,276.480011,278.579987,276.470001,277.850006,274.027100,59120800
2019-02-20,277.809998,278.920013,277.250000,278.410004,274.579407,76610800
2019-02-21,277.700012,278.100006,276.350006,277.420013,273.603058,64214700
2019-02-22,278.109985,279.359985,277.399994,279.140015,275.299408,78114600
2019-02-25,280.730011,281.309998,279.429993,279.519989,275.674133,69030700
2019-02-26,279.130005,280.299988,278.899994,279.320007,275.476898,56844100
2019-02-27,278.519989,279.589996,277.480011,279.200012,275.358551,56921600
2019-02-28,278.959991,279.450012,278.320007,278.679993,274.845673,69268300
2019-03-01,280.440002,280.880005,278.820007,280.420013,276.561798,78880500
2019-03-04,281.600006,281.869995,276.839996,279.399994,275.555786,106494600
2019-03-05,279.540009,279.760010,278.410004,279.019989,275.181030,59114600
2019-03-06,279.149994,279.160004,276.970001,277.329987,273.514282,75039800
2019-03-07,276.829987,276.989990,274.070007,275.010010,271.226196,94885100
2019-03-08,272.940002,274.649994,272.420013,274.459991,270.683746,85795800
2019-03-11,275.260010,278.619995,275.230011,278.440002,274.609009,65098900
2019-03-12,279.059998,280.070007,278.850006,279.489990,275.644562,79667500
2019-03-13,280.480011,282.380005,280.299988,281.339996,277.469116,80639200
